2021-1-31, 14:28:56, temps : 0.009068, offset : 3285827584, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.009176, offset : 3285815296, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.009258, offset : 3285786624, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.009340, offset : 3285778432, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.009431, offset : 3285753856, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.009507, offset : 3285721088, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.009587, offset : 3285708800, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.009665, offset : 3285688320, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.009743, offset : 3285676032, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.009840, offset : 3285639168, cur_bytes : 16384 , bytes : 16384, 
2021-1-31, 14:28:56, temps : 0.009981, offset : 3285630976, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.010062, offset : 3285622784, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.010143, offset : 3285614592, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.010231, offset : 3285598208, cur_bytes : 12288 , bytes : 12288, 
2021-1-31, 14:28:56, temps : 0.010312, offset : 3285590016, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.010394, offset : 3285577728, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.010472, offset : 3285561344, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.010553, offset : 3285553152, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.010630, offset : 3285536768, cur_bytes : 8192 , bytes : 8192, 
2021-1-31, 14:28:56, temps : 0.010711, offset : 3285512192, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.010792, offset : 3285491712, cur_bytes : 4096 , bytes : 4096, 
2021-1-31, 14:28:56, temps : 0.010871, offset : 3285446656, cur_bytes : 16384 , bytes : 16384, 
